,vid,tid,timestamp,Battery_Capacity_AH,Battery_Manufacture_Timestamp,Battery_Temperature,Charge_Mode,Charger_Temperature,Fault_Charger_LLC,Fault_Charger_PFC,Fault_MC_Left_Communication,Fault_MC_Left_Drive,Fault_MC_Left_Hall_Sensor,Fault_MC_Left_MOSFET,Fault_MC_Left_Overcurrent,Fault_MC_Left_Overtemp,Fault_MC_Left_Overvoltage,Fault_MC_Left_Phase_Loss,Fault_MC_Left_Undervoltage,Fault_MC_Right_Communication,Fault_MC_Right_Drive,Fault_MC_Right_Hall_Sensor,Fault_MC_Right_MOSFET,Fault_MC_Right_Overcurrent,Fault_MC_Right_Overtemp,Fault_MC_Right_Overvoltage,Fault_MC_Right_Phase_Loss,Fault_MC_Right_Undervoltage,Fault_Motor_Left_Overtemp,Fault_Motor_Left_Stall,Fault_Motor_Right_Overtemp,Fault_Motor_Right_Stall,IP_Daytime_Running_Light,IP_Headlights_High_Beam,IP_Headlights_Low_Beam,IP_Indicator_Lamp_Left,IP_Indicator_Lamp_Right,IP_Instrument_Panel_Backlight,IP_Overtaking_Light,IP_Ready_Blink,IP_Reverse_Light,Left_MC_Temperature,Left_Motor_RPM,Left_Motor_Temperature,MC_Left_Firmware_Version,MC_Right_Firmware_Version,Motor_Left_Battery_Current_Lim,Motor_Left_Reverse,Motor_Left_Start,Motor_Left_Throttle_Depth,Motor_Right_Battery_Current_Lim,Motor_Right_Reverse,Motor_Right_Start,Motor_Right_Throttle_Depth,Range,Range_Percentage,Right_MC_Temperature,Right_Motor_RPM,Right_Motor_Temperature,SOC,SOH,Switch_Balance_Fixed,Switch_Brake_Lever_Left,Switch_Brake_Lever_Right,Switch_Instrument_Control,Switch_Key,Switch_Parking,Switch_Power,Total_Charge_Time,Total_Distance_Driven,VCU_Firmware_Version
22,7.54e+18,242,1730000000000,,,,,-40.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7.54e+18,244,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5e+18,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7.54e+18,245,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5e+18,,,,,,,,,,,,,,,,,,,,,,,,,
25,7.54e+18,3000,1730000000000,,1600000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,8.83e+18,145,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,0.0,170.0,0.0,,,,,,,,,,,,,,,,,,,,,
27,8.83e+18,146,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,0.0,170.0,0.0,,,,,,,,,,,,,,,,,
28,8.83e+18,160,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,8.83e+18,161,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,
30,8.83e+18,168,1730000000000,70.0,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,59.0,,,,,,,,0.0,,
31,8.83e+18,171,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,98.0,,,,,,,,,,,,,,32685.0,
32,8.83e+18,172,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02e+18
33,8.83e+18,173,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,,
34,8.83e+18,240,1730000000000,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8.83e+18,242,1730000000000,,,,,-40.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,8.83e+18,244,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,8.83e+18,245,1730000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
38,8.83e+18,3000,1730000000000,,1610000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
